Iteration,Blocked,Dropped
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,2,0
24,0,0
25,2,0
26,1,0
27,2,0
28,1,0
29,6,0
30,1,0
31,6,0
32,1,0
33,6,0
34,1,0
35,7,0
36,3,0
37,7,0
38,3,0
39,7,0
40,3,0
41,7,0
42,3,0
43,7,0
44,3,0
45,7,0
46,3,0
47,7,0
48,3,0
49,7,0
50,3,0
51,7,0
52,7,0
53,7,0
54,7,0
55,7,0
56,7,0
57,8,1
58,7,0
59,8,1
60,10,1
61,8,1
62,11,1
63,8,1
64,11,1
65,8,1
66,11,1
67,8,1
68,11,1
69,8,1
70,11,1
71,8,1
72,11,1
73,8,1
74,11,1
75,8,1
76,11,1
77,8,1
78,11,1
79,8,1
80,11,1
81,8,1
82,11,1
83,8,1
84,11,1
85,8,1
86,11,1
87,8,1
88,11,1
89,8,1
90,11,1
91,9,1
92,11,1
93,9,1
94,11,1
95,9,1
96,11,1
97,9,1
98,11,1
99,10,1
100,11,1
101,11,1
102,11,1
103,15,3
104,11,1
105,16,3
106,11,1
107,16,3
108,11,1
109,16,3
110,11,1
111,16,3
112,14,1
113,16,3
114,14,1
115,16,3
116,14,1
117,16,3
118,14,1
119,16,3
120,14,1
121,17,3
122,14,1
123,17,3
124,14,1
125,17,3
126,16,2
127,17,3
128,16,2
129,19,3
130,16,2
131,23,3
132,16,2
133,23,3
134,16,2
135,25,3
136,16,2
137,29,5
138,16,2
139,32,5
140,17,2
141,32,5
142,17,2
143,32,5
144,17,2
145,32,5
146,17,2
147,32,5
148,17,2
149,32,5
150,17,2
151,32,5
152,17,2
153,32,5
154,17,2
155,32,5
156,17,2
157,33,5
158,17,2
159,33,5
160,18,2
161,33,5
162,18,2
163,33,5
164,18,2
165,33,5
166,18,2
167,33,5
168,18,2
169,33,5
170,18,2
171,33,5
172,21,2
173,33,5
174,23,2
175,33,5
176,23,2
177,33,5
178,23,2
179,33,5
180,23,2
181,34,5
182,23,2
183,34,5
184,23,2
185,34,5
186,24,2
187,36,5
188,24,2
189,37,5
190,24,2
191,37,5
192,24,2
193,37,5
194,24,2
195,37,5
196,24,2
197,38,6
198,24,2
199,38,6
200,24,2
201,38,6
202,24,2
203,38,6
204,24,2
205,38,7
206,24,2
207,38,7
208,24,2
209,38,7
210,25,2
211,38,7
212,29,3
213,38,7
214,29,5
215,38,7
216,29,5
217,38,7
218,29,5
219,38,7
220,34,6
221,38,7
222,34,6
223,38,7
224,34,6
225,38,7
226,36,6
227,39,9
228,36,6
229,39,9
230,36,6
231,39,9
232,36,6
233,39,9
234,36,6
235,39,9
236,36,6
237,39,10
238,36,6
239,39,10
240,36,6
241,39,10
242,36,6
243,39,10
244,36,6
245,39,10
246,37,6
247,39,10
248,37,6
249,39,10
250,37,6
251,39,10
252,37,6
253,39,10
254,37,6
255,39,10
256,37,6
257,39,10
258,38,6
259,39,10
260,38,6
261,39,10
262,39,6
263,39,10
264,39,6
265,39,10
266,39,6
267,39,10
268,39,6
269,40,11
270,40,6
271,40,11
272,42,8
273,40,11
274,42,8
275,40,11
276,42,8
277,40,11
278,42,8
279,40,11
280,42,8
281,40,11
282,42,8
283,40,11
284,42,8
285,40,11
286,44,8
287,41,11
288,45,8
289,43,12
290,45,8
291,43,12
292,45,8
293,43,12
294,45,8
295,43,12
296,45,8
297,43,12
298,45,8
299,43,12
300,47,8
301,43,12
302,47,8
303,44,12
304,48,8
305,44,12
306,48,8
307,44,12
308,48,8
309,44,12
310,48,8
311,44,12
312,48,8
313,46,12
314,48,8
315,46,12
316,48,8
317,46,12
318,49,8
319,46,12
320,49,8
321,46,12
322,49,8
323,46,12
324,49,8
325,46,12
326,49,8
327,49,12
328,53,8
329,49,12
330,53,8
331,50,14
332,53,8
333,50,14
334,53,8
335,50,14
336,53,8
337,50,14
338,55,8
339,50,14
340,55,8
341,50,14
342,55,8
343,50,14
344,59,10
345,50,14
346,59,10
347,50,14
348,62,10
349,50,14
350,62,10
351,53,14
352,62,10
353,53,14
354,62,10
355,54,15
356,65,10
357,54,15
358,65,10
359,54,15
360,65,10
361,54,15
362,65,10
363,54,15
364,66,11
365,54,15
366,66,11
367,54,15
368,66,11
369,54,15
370,67,11
371,54,15
372,67,11
373,54,16
374,67,11
375,54,16
376,67,11
377,54,16
378,67,11
379,54,16
380,68,11
381,54,16
382,68,11
383,54,16
384,68,11
385,54,16
386,68,11
387,54,16
388,69,11
389,54,16
390,69,11
391,54,16
392,70,12
393,54,16
394,70,12
395,54,16
396,71,12
397,54,16
398,71,12
399,54,16
400,71,12
401,55,19
402,71,12
403,55,19
404,71,12
405,57,19
406,71,12
407,57,19
408,71,12
409,57,19
410,71,12
411,57,19
412,71,12
413,57,19
414,71,12
415,57,19
416,71,12
417,57,19
418,72,12
419,57,19
420,72,12
421,57,19
422,72,12
423,57,19
424,72,12
425,57,19
426,72,12
427,57,19
428,75,13
429,57,19
430,75,13
431,57,19
432,78,13
433,57,22
434,78,13
435,57,22
436,78,13
437,57,22
438,78,13
439,57,22
440,78,13
441,57,22
442,78,13
443,57,23
444,79,13
445,57,23
446,79,13
447,59,23
448,79,13
449,59,23
450,80,13
451,59,23
452,80,13
453,59,23
454,80,13
455,59,23
456,81,13
457,59,23
458,81,13
459,59,23
460,81,13
461,59,23
462,81,13
463,59,23
464,82,13
465,59,23
466,82,13
467,59,23
468,86,13
469,59,23
470,86,13
471,59,23
472,86,13
473,61,23
474,86,13
475,61,23
476,86,13
477,61,23
478,86,13
479,61,23
480,86,13
481,61,23
482,86,13
483,61,23
484,86,13
485,62,23
486,86,13
487,62,23
488,86,13
489,62,23
490,87,13
491,62,23
492,87,13
493,63,23
494,87,13
495,63,23
496,89,13
497,65,23
498,89,13
499,65,23
500,89,13
501,65,23
502,89,13
503,65,23
504,89,13
505,65,23
506,89,13
507,65,23
508,89,13
509,65,23
510,89,13
511,66,24
512,89,13
513,66,24
514,89,13
515,66,24
516,89,13
517,66,24
518,89,13
519,66,24
520,89,13
521,66,24
522,89,13
523,66,24
524,89,13
525,66,24
526,89,13
527,66,24
528,90,15
529,67,25
530,90,15
531,70,25
532,90,15
533,70,25
534,91,17
535,70,25
536,91,17
537,70,25
538,93,17
539,70,25
540,93,17
541,70,25
542,93,17
543,70,25
544,93,17
545,70,25
546,93,17
547,70,25
548,93,17
549,71,25
550,96,17
551,71,25
552,97,18
553,71,25
554,97,18
555,71,25
556,99,18
557,71,25
558,99,18
559,72,25
560,99,18
561,72,25
562,99,18
563,72,25
564,99,18
565,72,25
566,99,18
567,72,25
568,99,18
569,75,25
